DATASET;Restaurant1;Restaurant2;Restaurant3;Restaurant4;Restaurant5;Restaurant6;Restaurant7;Restaurant8;Restaurant9;Restaurant10;Restaurant11;Restaurant12;Restaurant13;Restaurant14;Restaurant15;Restaurant16;Restaurant17;Restaurant18;Restaurant19;Restaurant20;Restaurant21;Restaurant22;Restaurant23;Restaurant24;Restaurant25;Restaurant26;Restaurant27;Restaurant28;Restaurant29;Restaurant30;Restaurant31;Restaurant32;Restaurant33;Restaurant34;Restaurant35;Restaurant36;Restaurant37;Restaurant38;Restaurant39;Restaurant40;Restaurant41;Restaurant42;Restaurant43;Restaurant44;Restaurant45;Restaurant46;Restaurant47;Restaurant48;Restaurant49;Restaurant50;Restaurant51;Restaurant52;Restaurant53;Restaurant54;Restaurant55;Restaurant56;Restaurant57;Restaurant58;Restaurant59;Restaurant60;Restaurant61;Restaurant62;Restaurant63;Restaurant64;Restaurant65;Restaurant66;Restaurant67;Restaurant68;Restaurant69;Restaurant70;Restaurant71;Restaurant72;Restaurant73;Restaurant74;Restaurant75;Restaurant76;Restaurant77;Restaurant78;Restaurant79;Restaurant80;Restaurant81;Restaurant82;Restaurant83;Restaurant84;Restaurant85;Restaurant86;Restaurant87;Restaurant88;Restaurant89;Restaurant90;Restaurant91;Restaurant92;Restaurant93;Restaurant94;Restaurant95;Restaurant96;Restaurant97;Restaurant98;Restaurant99;Restaurant100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User11;-2,91;4,08;99;99;-5,73;99;2,48;-5,29;99;1,46;99;99;2,82;99;0,92;-5,73;-0,92;5,58;0,53;1,41;99;6,36;99;99;99;99;8,2;99;8,3;99;7,52;8,64;99;99;8,64;8,16;99;4,85;99;99;6,75;99;99;99;99;3,79;6,41;2,48;3,25;8,4;99;99;4,03;99;99;7,33;99;99;99;1,84;99;5,44;99;99;99;6,94;99;3,59;7,04;99;99;99;99;99;99;99;99;2,28;99;99;99;99;99;99;99;99;99;99;99;99;99;6,17;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User12;1,31;1,8;2,57;-2,38;0,73;0,73;-0,97;5;-7,23;-1,36;3,83;1,75;5,63;-2,86;-1,8;-2,04;5,53;-0,29;-0,58;1,36;2,43;0,63;-4,61;-4,37;-1,65;-1,36;7,57;-0,15;5,97;-3,5;0,24;4,27;-0,68;-3,79;7,62;5,15;2,43;0,1;0,83;-2,04;0,53;2,33;-2,28;-5,15;-0,58;-1,26;2,04;-1,41;2,38;6,6;2,04;-1,99;-2,77;-0,49;1,75;0,92;-6,89;-5,29;0,68;-2,38;-0,15;-0,24;1,46;-2,14;2,43;-2,43;-5,1;-0,49;0,15;-2,62;-2,91;1,12;1,7;0;2,04;3,06;-4,47;2,04;1,12;3,3;1,46;0,68;-2,57;-0,63;0,58;-0,63;1,89;2,38;6,21;-2,52;1,46;1,7;0,29;-3,3;3,45;5,44;4,08;2,48;4,51;4,66,,
User13;99;99;99;99;5,87;99;5,58;0,53;99;7,14;7,04;99;3,74;7,04;-4,85;-4,85;-5,34;2,04;5,58;5,58;8,01;99;-0,87;99;3,98;99;7,67;7,04;7,52;99;7,04;6,84;99;99;7,67;8,11;99;3,98;3,98;99;99;7,04;5,97;4,85;7,38;7,04;3,3;7,04;8,4;9,17;99;99;7,82;7,04;99;7,04;99;99;99;99;7,86;7,77;3,98;0,53;7,23;8,69;99;6,12;8,45;99;99;99;99;99;-0,05;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;7,52;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User14;9,22;9,27;9,22;8,3;7,43;0,44;3,5;8,16;5,97;8,98;3,74;5,87;8,69;6,31;1,07;-9,13;3,69;-7,33;3,88;-7,48;8,45;9,17;9,22;9,03;9,27;4,42;8,69;1,75;7,57;-7,14;8,93;6,8;0,87;7,23;8,79;8,79;7,43;8,59;8,54;9,17;8,2;8,54;8,2;9,17;9,08;2,86;-2,38;7,43;1,17;-0,29;5;8,35;7,62;8,16;8,06;8,35;9,22;-9,27;7,14;9,08;4,08;-9,81;-7,14;9,32;7,14;7,57;-5,78;-6,55;-7,23;6,36;-7,57;8,93;0,15;8,93;-6,21;8,35;3,35;8,69;-8,45;8,79;8,88;-8,69;7,77;-0,83;7,62;8,2;5,44;8,93;8,45;2,09;8,11;-1,02;5,58;6,84;5,53;-5,92;8,2;8,98;-8,16;6,5,
User15;8,79;-5,78;6,02;3,69;7,77;-5,83;8,69;8,59;-5,92;7,52;-4,85;-7,28;-6,75;-1,99;-3,79;4,42;4,85;-8,83;-7,96;0,49;5,05;-9,51;-0,44;-4,32;4,85;-3,5;-9,22;1,46;4,51;-4,95;-3,16;4,42;-3,79;-9,47;-9,51;6,55;-2,96;-8,35;1,7;4,03;5,1;-4,37;8,3;-4,81;-7,91;-3,01;-5,05;8,88;5,24;-8,01;7,91;-9,51;-9,47;-1,6;-3,69;-4,85;-8,98;-7,04;-5,73;8,69;-7,67;-7,62;8,64;-0,53;3,79;2,57;8,54;-0,58;-3,74;-8,54;3,54;0,49;3,35;3,59;3,54;5,63;-0,83;-4,61;-2,57;-7,04;6,07;3,16;5,87;4,03;-0,68;1,17;3,2;-0,34;8,69;1,12;2,72;-5,49;-8,59;8,69;-8,74;-3,01;8,3;-4,81;-2,38;-5,97
User16;-3,5;1,55;2,33;-4,13;4,22;-2,28;-2,96;-0,49;2,91;1,99;-1,99;5,53;-4,66;4,9;2,52;-0,68;0;-2,23;-6,6;-0,29;5,73;-1,65;-3,83;-4,13;-3,88;-2,43;5,73;-0,68;5,97;-3,45;0,63;0,19;3,06;7,04;5,39;5,78;-7,96;-0,19;1,65;-1,12;1,02;-5,05;-6,17;-4,37;-3,79;3,4;0,97;-3,54;4,22;5,24;3,93;4,22;-7,18;1,8;-1,17;4,17;-5,24;-6,8;3,93;-3,93;-0,68;0,53;-4,51;-2,96;6,02;3,2;-3,69;6,41;3,93;-3,3;4,22;-3,4;-3,2;-4,37;-2,38;-3,64;-0,39;2,04;-5,68;-4,22;-6,6;-4,47;6,21;-2,28;-1,94;-6,26;0,49;-0,87;4,47;-2,77;3,11;1,7;0,24;-5,92;7,28;-1,36;3,74;2,82;-2,86;3,45,
User17;99;-9,27;99;99;-7,38;99;8,74;-6,31;99;2,33;99;1,75;0,63;2,62;7,72;-3,5;-1,26;4,81;7,91;6,21;-4,22;-3,4;2,09;99;0,44;0,53;-7,57;-4,13;5,78;-2,57;6,36;1,94;99;3,59;5,53;-1,89;99;-4,22;3,35;-1,17;99;9,03;99;99;99;-1,02;8,4;-1,21;8,3;6,26;99;99;1,26;-2,77;99;5,24;99;99;2,23;99;5,97;4,47;2,33;99;4,51;4,03;99;-6,12;6,65;-1,02;99;3,88;99;99;99;99;99;99;99;99;99;99;99;99;99;99;6,07;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User18;3,16;7,62;3,79;8,25;4,22;7,62;2,43;0,97;0,53;0,83;3,5;3,3;5,05;4,71;2,57;-0,73;1,02;-1,21;2,23;0,97;0,97;-0,15;5,63;0,19;2,52;4,66;6,5;1,21;6,46;5,58;0,83;3,69;3,64;2,52;5,83;3,06;7,18;1,75;-2,18;0,24;2,82;0,97;3,93;7,67;2,86;3,69;5,53;2,14;2,43;4,66;1,07;5,68;4,08;5,1;1,07;7,18;1,17;3,74;5,39;3,06;3,93;3,79;5,49;3,16;3,11;2,48;6,75;4,13;5,63;5,73;0,58;5,92;3,88;0,78;2,62;7,48;7,38;7,33;7,86;6,65;7,33;2,62;7,86;7,48;5,78;0,1;7,96;-0,05;7,72;5,1;0,83;5,68;3,69;0,19;0,29;3,59;0,49;8,06;0,49;7,62
User19;4,22;3,64;99;99;2,52;99;4,13;-5,19;99;7,91;99;2,09;0,78;2,04;1,65;-3,64;0,97;2,52;-0,49;0,68;1,65;3,2;99;99;99;1,02;6,17;1,94;1,8;99;3,2;6,5;99;99;5,78;0,49;99;2,23;0,78;2,57;2,77;99;99;99;99;2,04;3,64;3,2;0,19;0,24;99;99;-7,82;0,39;99;-0,73;99;99;1,84;2,04;3,25;3,5;99;99;-3,06;1,75;99;-2,04;2,38;99;99;99;2,52;99;99;99;99;99;99;99;-1,55;99;99;99;99;99;99;99;99;99;99;0,05;99;99;99;99;1,65;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User20;99;7,62;99;99;-8,64;2,43;8,93;-6,6;99;-9,47;-2,77;-0,73;-9,27;99;-1,02;-3,16;3,69;-4,81;8,79;-7,18;7,62;99;2,77;99;3,25;1,8;5,44;-9,95;7,38;99;2,67;-8,69;99;-0,58;5;9,22;99;-9,27;-7,62;99;99;-8,83;-9,42;99;-6,55;-4,08;2,86;6,41;2,09;9,37;99;1,46;6,12;-1,94;0,29;2,28;99;99;-6,5;-1,12;4,81;3,98;-2,48;99;1,94;0,63;99;1,31;1,8;0,29;99;99;99;99;99;99;99;99;0;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User21;2,57;-0,73;99;99;2,57;99;-4,22;2,67;99;-1,31;0,73;99;-3,45;-0,53;-5,1;-0,44;-2,28;2,57;-5,39;-0,44;-1,46;-8,88;0,73;99;0,97;99;-0,53;-2,96;3,64;99;0,87;3,35;99;99;1,5;3,54;-0,63;-0,78;-0,44;-0,63;99;-1,41;-4,81;99;0,73;-0,39;0,73;-0,19;-0,97;3,64;-3,35;99;0,39;-1,94;-1,31;1,07;99;-6,26;-0,53;99;-0,15;1,41;0,05;99;0,83;-0,83;99;0,1;1,6;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0,83;99;99;99;99;99;99;1,31;99;99;99;99;1,02;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User22;7,28;5,39;99;99;-4,22;99;8,93;3,5;99;6,12;0,87;99;-3,45;99;-0,68;-8,59;-1,6;3,01;-1,5;-0,29;3,64;5,1;-4,37;99;1,36;0,87;4,13;3,98;8,83;99;6,17;-2,67;99;-2,33;5,78;3,5;99;3,3;99;6,17;99;-5,34;99;99;-3,35;4,76;99;-1,12;-0,44;4,42;99;99;-4,71;-7,18;1,75;1,17;99;99;99;4,81;-3,5;1,55;99;99;2,86;1,89;99;3,11;-0,05;99;-1,26;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-1,55;99;99;99;99;0,29;-4,61;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User23;2,72;4,17;6,5;-3,54;-3,3;2,86;7,04;4,95;6,17;8,93;8,88;7,09;2,86;2,04;-6,65;-0,63;-2,91;2,62;6,6;-1,84;1,99;4,32;8,3;-8,4;4,51;5,68;6,36;3,83;8,06;0,92;5,68;7,77;9,17;2,52;6,89;7,43;-2,86;8,74;1,94;6,99;-2,91;4,51;-7,91;2,62;2,33;4,9;2,57;-0,44;4,61;2,96;-2,91;2,82;7,62;5,73;-8,2;2,82;-6,99;-8,45;8,5;4,47;6,89;2,96;8,88;3,93;3,59;0,63;-5,29;6,5;-1,99;1,5;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-3,35;99;99;99;2,67;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User24;2,09;-7,57;4,17;-8,4;-6,31;5,34;-5,19;-5,05;-8,2;2,28;1,17;5,73;-6,26;-0,63;-7,14;-5,58;1,5;-1,21;-1,17;-0,34;5,78;-3,5;0,1;-4,32;-0,24;5,92;5,97;-0,68;-0,92;1,21;-0,05;2,04;-8,54;-0,58;0,1;-5,83;-8,69;-0,83;2,86;-7,38;1,6;0,1;-1,36;-3,98;1,55;-0,78;0,39;3,11;-0,49;2,72;-8,11;0,39;5,29;3,98;-3,3;0,19;-7,86;-9,03;0,92;-4,42;3,54;-0,1;-0,1;-4,08;7,28;5,78;-5,29;3,45;6,8;-4,42;6,65;7,28;0,34;3,3;-0,92;7,43;2,77;6,21;6,46;5,53;7,43;5,87;4,9;6,21;3,59;4,76;7,52;8,25;8,5;2,67;3,06;8,25;8,5;-9,51;8,45;8,16;7,82;8,5;8,35;-8,35
User25;-3,93;-1,17;2,28;-0,44;-2,28;2,38;-3,93;4,51;-0,34;7,77;-2,48;0,24;0,87;-0,53;-0,68;1,75;-0,24;3,54;2,33;3,3;-1,36;7,62;-0,68;3,83;2,57;-0,58;6,89;5,83;5,73;-4,47;-0,97;3,93;0,05;0,34;8,11;8,2;-4,51;1,55;-3,3;-2,57;-9,42;6,26;-2,48;1,7;-6,46;6,5;6,6;5,87;-4,76;5,68;-5,53;-0,15;6,46;2,48;1,75;3,83;0,39;2,77;-0,58;-0,29;2,28;8,54;-5,05;3,98;8,45;2,43;-0,15;3,83;5,58;-5,58;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;-1,5;-6,07;1,26;0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
User26;99;5,49;3,45;99;0,15;4,76;0,1;4,13;8,01;4,76;7,33;8,06;1,6;7,91;7,28;0,05;3,4;-3,35;-0,15;5,92;8,25;0,34;5,73;1,31;6,84;2,91;7,91;6,75;5,49;6,99;1,02;-4,37;6,36;4,51;6,41;5,29;-0,78;6,7;7,57;6,46;0,97;7,91;3,16;99;7,96;7,96;5,15;6,36;6,55;4,51;1,84;5,83;6,5;1,26;7,52;7,28;-1,46;99;3,16;-1,6;3,2;7,57;3,93;1,75;2,62;6,8;0,83;7,23;1,65;3,11;99;99;99;99;99;99;99;99;2,82;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User27;99;5,83;99;99;5,34;99;-4,47;2,18;-3,98;-3,25;-3,4;3,45;4,17;-5,05;-2,96;-0,19;-1,17;-1,94;-4,56;4,51;-2,18;-1,41;3,69;99;4,47;-5,44;-3,98;3,16;5,78;99;4,95;-1,8;3,25;-3,45;4,13;7,52;99;4,76;4,61;3,74;4,95;4,17;-3,98;-5,05;4,71;5,34;4,71;6,26;-0,92;5,34;-7,48;99;3,16;4,61;-2,91;-3,01;99;99;-4,85;99;6,17;3,16;4,08;5,87;4,56;4,71;99;5,44;5,19;-3,64;99;99;99;99;99;99;99;-2,91;99;99;99;99;99;99;99;99;99;99;99;99;99;99;4,47;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User28;0,49;0,15;0,15;-9,56;-9,76;-9,61;0,29;1,65;-4,61;-4,71;-5,78;0,73;3,11;0,78;-9,9;8,06;-0,83;0,53;5;-9,61;-1,89;-1,26;-1,26;-9,17;-1,84;-2,28;-9,9;-9,17;-1,6;-9,66;-9,85;2,86;-1,99;1,02;-1,36;2,14;-4,66;-0,24;-5,78;0,15;-2,18;-1,75;-4,56;0,05;-4,56;7,57;-1,12;-1,75;-1,7;0,34;-9,22;-9,85;0,53;-3,59;-8,74;-1,84;-1,99;-9,42;-9,51;0,1;2,96;5,39;-1,6;0,19;0,53;-0,73;-9,56;-3,83;3,74;-0,19;99;99;99;99;99;99;99;99;99;99;99;99;99;-2,38;99;99;99;99;99;99;99;99;99;99;-0,97;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User29;99;99;99;99;-1,7;99;8,83;-1,89;99;99;-5,39;4,76;1,21;1,36;6,89;3,88;-6,26;1,65;3,88;3,79;-8,25;4,61;99;99;-0,68;0,05;6,89;7,77;4,32;3,11;9,03;4,13;9,22;2,04;8,59;9,27;-0,53;8,88;1,8;1,8;-8,79;8,98;99;99;2,57;9,13;2,43;1,17;-1,6;3,16;1,99;-9,85;3,35;1,75;99;-1,26;99;99;-7,04;99;-0,44;3,45;2,96;99;4,22;3,64;99;9,08;9,17;99;99;99;99;99;-1,07;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;0,24;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User30;99;4,08;99;99;5,87;99;0,44;2,28;99;99;99;99;6,26;99;3,16;-8,4;-6,55;1,89;0,19;0,87;4,08;4,85;99;1,89;4,56;6,31;3,64;1,26;6,12;-0,24;3,01;5,24;99;0,39;-1,7;3,93;99;0,73;4,37;5,05;5,19;4,47;99;99;4,76;99;99;4,03;6,26;8,06;4,13;4,37;4,08;3,88;99;4,08;99;99;2,96;99;99;2,82;99;99;2,18;2,77;99;1,26;1,65;99;99;99;99;99;99;99;99;99;99;99;99;99;3,45;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
